team,spread,o/u,season_year,week
BAL,-2.5,45.0,2013,16
GB,-3.0,45.0,2013,16
SF,-12.0,45.0,2013,16
TEN,-7.0,44.0,2013,17
PIT,-7.0,44.0,2013,17
NYG,-3.5,46.0,2013,17
CIN,-6.0,44.5,2013,17
MIA,-6.5,41.0,2013,17
MIN,-3.0,52.0,2013,17
NE,-8.5,47.0,2013,17
NO,-12.5,47.0,2013,17
OAK,12.0,53.5,2013,17
SEA,-10.0,43.0,2013,17
DAL,2.5,56.0,2013,17
IND,-11.5,45.5,2013,17
SD,-9.5,45.0,2013,17
ARI,1.5,43.0,2013,17
ATL,7.0,45.5,2013,17
CHI,3.0,53.0,2013,17
