season_year,season_type,week,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds.1,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block,team_score,opp_score,opp_team,h/a,DK points
2016,Preseason,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,10,21,GB,1,3.0
2016,Regular,3,CHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,17,31,DAL,0,1.0
2016,Preseason,3,ARI,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,24,34,HOU,0,4.0
2016,Regular,3,TB,1,0,1,0,0,0,0,0,1,1,0,0,0,1.0,0,32,37,LA,1,7.0
2016,Regular,3,SF,1,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0,18,37,SEA,0,2.0
2016,Regular,3,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,32,45,ATL,1,-2.0
2016,Preseason,3,IND,0,0,0,0,0,0,0,0,1,0,1,1,0,1.0,0,23,33,PHI,1,10.0
2016,Regular,3,WAS,3,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0,29,27,NYG,0,8.0
2016,Regular,3,CLE,1,0,1,0,0,0,0,0,2,1,0,0,0,1.0,0,24,30,MIA,0,12.0
2016,Preseason,3,CHI,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,7,23,KC,1,4.0
2016,Preseason,3,NYJ,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,20,21,NYG,1,5.0
2016,Preseason,3,PIT,2,0,1,0,0,0,0,0,2,0,0,0,0,1.0,0,27,14,NO,0,8.0
2016,Regular,3,NYJ,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,3,24,KC,0,2.0
2016,Preseason,3,CLE,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,13,30,TB,0,1.0
2016,Regular,3,CIN,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,1,17,29,DEN,1,5.0
2016,Regular,3,LA,1,0,1,1,0,0,0,0,1,0,0,0,0,2.0,0,37,32,TB,0,11.0
2016,Regular,3,OAK,1,0,1,0,0,0,0,0,2,0,0,0,0,1.0,0,17,10,TEN,0,11.0
2016,Preseason,3,GB,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,21,10,SF,0,9.0
2016,Preseason,3,ATL,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,6,17,MIA,0,3.0
2016,Regular,3,IND,3,0,3,0,0,0,0,0,0,0,0,0,0,2.0,1,26,22,SD,1,10.0
2016,Preseason,3,CAR,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,17,19,NE,1,3.0
2016,Regular,3,NE,2,0,2,0,0,0,0,0,1,0,0,0,0,2.0,0,27,0,HOU,1,18.0
2016,Regular,3,SEA,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,37,18,SF,1,3.0
2016,Regular,3,PHI,1,1,1,0,0,0,0,0,1,0,0,0,0,4.0,0,34,3,PIT,1,17.0
2016,Preseason,3,PHI,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,33,23,IND,0,5.0
2016,Regular,3,ARI,2,0,0,0,0,0,0,0,1,0,0,0,1,4.0,0,18,33,BUF,0,7.0
2016,Regular,3,SD,2,0,1,1,0,0,0,0,1,0,0,0,0,2.0,0,22,26,IND,0,12.0
2016,Preseason,3,HOU,1,0,1,0,0,0,0,0,4,1,0,0,0,3.0,0,34,24,ARI,1,19.0
2016,Regular,3,KC,3,0,2,1,0,0,0,0,6,1,0,0,0,0.0,0,24,3,NYJ,1,35.0
2016,Preseason,3,MIA,2,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0,17,6,ATL,1,13.0
2016,Regular,3,DEN,1,0,1,0,0,0,0,0,1,0,0,0,0,4.0,0,29,17,CIN,0,9.0
2016,Regular,3,MIA,2,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0,30,24,CLE,1,6.0
2016,Preseason,3,SEA,1,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0,27,17,DAL,1,7.0
2016,Preseason,3,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,17,27,SEA,0,1.0
2016,Preseason,3,NE,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0,0,19,17,CAR,0,8.0
2016,Preseason,3,JAC,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,0,26,21,CIN,1,13.0
2016,Regular,3,BUF,1,0,1,1,0,0,0,0,4,0,0,0,0,5.0,0,33,18,ARI,1,22.0
2016,Preseason,3,MIN,1,0,1,0,0,0,0,0,3,0,0,0,0,2.0,0,23,10,SD,1,14.0
2016,Preseason,3,SD,4,0,2,0,0,0,0,0,0,0,0,0,0,5.0,0,10,23,MIN,0,9.0
2016,Regular,3,TEN,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,10,17,OAK,1,4.0
2016,Preseason,3,TEN,1,0,1,1,0,0,0,0,2,0,0,0,0,1.0,0,27,14,OAK,0,14.0
2016,Preseason,3,NYG,3,0,1,0,0,0,0,0,2,1,0,0,0,2.0,0,21,20,NYJ,0,15.0
2016,Regular,3,NYG,2,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,27,29,WAS,1,3.0
2016,Preseason,3,BUF,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,16,21,WAS,0,3.0
2016,Regular,3,JAC,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0,17,19,BAL,1,9.0
2016,Preseason,3,WAS,1,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0,21,16,BUF,1,8.0
2016,Preseason,4,TEN,1,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0,21,10,MIA,0,10.0
2016,Preseason,4,BAL,2,0,1,1,0,0,0,0,0,0,0,0,0,3.0,0,23,14,NO,0,12.0
2016,Regular,4,MIN,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,24,10,NYG,1,8.0
2016,Regular,4,WAS,2,0,2,0,0,0,0,0,1,0,0,0,0,1.0,0,31,20,CLE,1,8.0
2016,Preseason,4,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,6,18,CAR,0,4.0
2016,Preseason,4,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,13,20,WAS,1,4.0
2016,Regular,4,IND,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,27,30,JAC,0,2.0
2016,Preseason,4,GB,1,0,1,0,0,0,0,0,2,0,0,1,0,2.0,0,7,17,KC,0,11.0
2016,Preseason,4,NE,2,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0,9,17,NYG,0,8.0
2016,Regular,4,CIN,1,0,1,0,0,0,0,0,1,0,0,0,0,5.0,0,22,7,MIA,1,13.0
2016,Preseason,4,SF,1,0,1,0,0,0,0,0,2,0,0,0,0,3.0,0,31,21,SD,0,9.0
2016,Preseason,4,ATL,0,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0,17,15,JAC,1,7.0
2016,Regular,4,ATL,0,0,0,0,0,0,0,0,2,1,0,0,0,1.0,0,48,33,CAR,1,10.0
2016,Preseason,4,ARI,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0,38,17,DEN,1,10.0
2016,Preseason,4,DAL,1,0,1,0,0,0,0,0,1,1,0,0,0,1.0,0,17,28,HOU,1,10.0
2016,Preseason,4,IND,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,13,10,CIN,0,8.0
2016,Regular,4,BAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,27,28,OAK,1,1.0
2016,Preseason,4,DET,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0,31,0,BUF,1,16.0
2016,Regular,4,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,14,43,PIT,0,-2.0
2016,Regular,4,TEN,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0,20,27,HOU,0,5.0
2016,Preseason,4,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,31,DET,0,-1.0
2016,Preseason,4,NYJ,3,0,3,0,0,0,0,0,2,0,0,0,0,1.0,0,6,14,PHI,0,12.0
2016,Preseason,4,CIN,2,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,10,13,IND,1,8.0
2016,Preseason,4,CLE,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0,1,7,21,CHI,1,7.0
2016,Preseason,4,MIA,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0,10,21,TEN,1,8.0
2016,Preseason,4,OAK,0,0,1,0,0,1,0,0,0,0,0,0,0,2.0,0,21,23,SEA,1,10.0
2016,Regular,4,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,7,27,DEN,1,4.0
2016,Regular,4,DAL,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,24,17,SF,0,4.0
2016,Regular,4,CAR,0,0,0,0,0,0,0,0,1,1,0,0,0,3.0,0,33,48,ATL,0,7.0
2016,Preseason,4,PHI,1,0,0,0,0,0,1,1,1,1,0,0,0,1.0,0,14,6,NYJ,1,22.0
2016,Regular,4,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,17,27,SEA,1,2.0
2016,Preseason,4,NYG,2,0,2,0,0,0,0,0,1,0,0,0,0,4.0,0,17,9,NE,1,14.0
2016,Regular,4,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,17,24,DAL,1,2.0
2016,Regular,4,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,7,22,CIN,0,1.0
2016,Regular,4,ARI,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,13,17,LA,1,5.0
2016,Preseason,4,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,14,23,BAL,1,3.0
