,season_year,season_type,week,home_team,home_score,away_team,away_score,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block
111,2016,Preseason,2,BUF,21,NYG,0,BUF,2,0,2,0,0,0,0,0,2,0,0,0,0,3.0,0
112,2016,Preseason,2,CLE,13,ATL,24,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
113,2016,Preseason,2,TEN,16,CAR,26,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
114,2016,Regular,2,OAK,28,ATL,35,OAK,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
115,2016,Regular,2,PIT,24,CIN,16,CIN,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0
116,2016,Regular,2,CAR,46,SF,27,SF,2,0,3,0,0,0,0,0,1,0,0,0,0,1.0,1
117,2016,Preseason,2,PIT,0,PHI,17,PHI,0,0,0,0,0,0,0,0,4,1,0,0,0,4.0,0
118,2016,Regular,2,SD,38,JAC,14,JAC,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0
119,2016,Preseason,2,SEA,11,MIN,18,MIN,0,0,0,0,0,0,0,0,1,1,0,0,0,6.0,0
120,2016,Preseason,2,WAS,22,NYJ,18,NYJ,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
121,2016,Preseason,2,SD,19,ARI,3,SD,0,0,0,0,0,0,0,0,2,1,0,0,0,1.0,0
122,2016,Preseason,2,UNK,21,KC,20,KC,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0
123,2016,Regular,2,BUF,31,NYJ,37,NYJ,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0
124,2016,Preseason,2,DEN,24,SF,31,SF,2,0,2,0,0,0,0,0,2,1,0,0,0,6.0,0
125,2016,Preseason,2,CLE,13,ATL,24,CLE,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
126,2016,Preseason,2,NE,23,CHI,22,CHI,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0
127,2016,Regular,2,MIN,17,GB,14,GB,2,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0
128,2016,Preseason,3,DEN,17,UNK,9,DEN,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0
129,2016,Regular,3,JAC,17,BAL,19,BAL,0,1,0,0,0,0,0,0,3,0,0,0,0,4.0,0
130,2016,Preseason,3,MIA,17,ATL,6,ATL,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0
131,2016,Regular,3,GB,34,DET,27,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
132,2016,Regular,3,KC,24,NYJ,3,NYJ,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
133,2016,Regular,3,IND,26,SD,22,SD,2,0,1,1,0,0,0,0,1,0,0,0,0,2.0,0
134,2016,Preseason,3,SF,10,GB,21,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
135,2016,Regular,3,MIA,30,CLE,24,CLE,1,0,1,0,0,0,0,0,2,1,0,0,0,1.0,0
136,2016,Preseason,3,NYJ,20,NYG,21,NYJ,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0
137,2016,Preseason,3,IND,23,PHI,33,PHI,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
138,2016,Preseason,3,SF,10,GB,21,GB,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
139,2016,Preseason,3,BAL,30,DET,9,BAL,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0
140,2016,Preseason,3,OAK,14,TEN,27,TEN,1,0,1,1,0,0,0,0,2,0,0,0,0,1.0,0
141,2016,Regular,3,SEA,37,SF,18,SEA,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0
142,2016,Preseason,3,JAC,26,CIN,21,JAC,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,0
143,2016,Regular,3,NO,32,ATL,45,ATL,0,0,1,0,0,0,0,0,1,1,0,0,0,2.0,0
144,2016,Preseason,3,WAS,21,BUF,16,BUF,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
