Unnamed: 0,season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
346,2016,Preseason,2,KC,Jeremy Maclin,WR,3,4,1,0,0,7,48,0,0,0,0,0,0,0,0,0,0,20,21,UNK,0,6,0.75,0.3,16.0,,13.8
347,2016,Preseason,2,KC,Rod Streater,WR,2,2,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,20,21,UNK,0,0,1.0,0.0,8.0,,3.6
348,2016,Preseason,2,KC,Tyreek Hill,WR,2,2,0,0,0,6,26,0,0,0,0,0,0,0,0,0,0,20,21,UNK,0,0,1.0,0.0,13.0,,4.6
349,2016,Preseason,2,UNK,Bradley Marquez,WR,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,21,20,KC,1,0,1.0,0.0,-1.0,,0.9
350,2016,Preseason,2,UNK,Brian Quick,WR,2,5,0,0,0,14,27,0,0,0,0,0,0,0,0,0,0,21,20,KC,1,0,0.4,0.0,13.5,,4.7
351,2016,Preseason,2,UNK,Kenny Britt,WR,2,2,0,0,0,20,27,0,0,0,0,0,0,0,0,0,0,21,20,KC,1,0,1.0,0.0,13.5,,4.7
352,2016,Preseason,2,UNK,Pharoh Cooper,WR,1,2,1,0,0,10,11,0,0,0,0,0,0,0,0,0,0,21,20,KC,1,6,0.5,0.285714285714,11.0,,8.1
353,2016,Preseason,2,NYJ,Brandon Marshall,WR,1,2,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,18,22,WAS,0,0,0.5,0.0,5.0,,1.5
354,2016,Preseason,2,NYJ,Charone Peake,WR,4,7,0,0,0,14,32,0,0,0,0,0,0,0,0,0,0,18,22,WAS,0,0,0.571428571429,0.0,8.0,,7.2
355,2016,Preseason,2,NYJ,Eric Decker,WR,1,2,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,18,22,WAS,0,0,0.5,0.0,13.0,,2.3
356,2016,Preseason,2,NYJ,Jalin Marshall,WR,4,10,0,0,0,6,37,0,0,0,0,0,0,0,0,0,0,18,22,WAS,0,0,0.4,0.0,9.25,,7.7
357,2016,Preseason,2,NYJ,Jeremy Ross,WR,1,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,22,WAS,0,0,1.0,0.0,18.0,,2.8
358,2016,Preseason,2,NYJ,Robby Anderson,WR,6,8,1,0,0,25,131,0,0,0,0,0,0,0,0,0,0,18,22,WAS,0,6,0.75,0.333333333333,21.8333333333,,28.1
359,2016,Preseason,2,WAS,Jamison Crowder,WR,3,4,0,0,0,7,38,1,0,0,0,0,0,0,0,0,0,22,18,NYJ,1,0,0.75,0.0,12.6666666667,,5.8
360,2016,Preseason,2,WAS,Maurice Harris,WR,1,1,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,22,18,NYJ,1,0,1.0,0.0,19.0,,2.9
361,2016,Preseason,2,WAS,Rashad Ross,WR,4,5,2,0,0,-2,58,0,0,0,0,0,0,0,0,0,0,22,18,NYJ,1,12,0.8,0.545454545455,14.5,,21.8
362,2016,Preseason,2,WAS,Ryan Grant,WR,4,4,0,0,0,21,43,0,0,0,0,0,0,0,0,0,0,22,18,NYJ,1,0,1.0,0.0,10.75,,8.3
363,2016,Regular,2,ARI,Jaron Brown,WR,2,2,1,0,0,20,78,0,0,0,0,0,0,0,0,0,0,40,7,TB,1,6,1.0,0.15,39.0,,15.8
364,2016,Regular,2,ARI,John Brown,WR,1,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,40,7,TB,1,0,0.333333333333,0.0,14.0,,2.4
365,2016,Regular,2,ARI,Larry Fitzgerald,WR,6,11,1,0,0,19,81,0,0,0,0,0,0,0,0,0,0,40,7,TB,1,6,0.545454545455,0.15,13.5,,20.1
366,2016,Regular,2,ARI,Michael Floyd,WR,2,6,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,40,7,TB,1,6,0.333333333333,0.15,4.0,,8.8
367,2016,Regular,2,TB,Adam Humphries,WR,6,8,0,0,0,52,67,0,0,0,0,0,0,0,0,0,0,7,40,ARI,0,0,0.75,0.0,11.1666666667,,12.7
368,2016,Regular,2,TB,Cecil Shorts,WR,1,2,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,7,40,ARI,0,0,0.5,0.0,12.0,,2.2
369,2016,Regular,2,TB,Mike Evans,WR,6,17,1,0,0,4,70,0,0,0,0,0,0,0,0,0,0,7,40,ARI,0,6,0.352941176471,0.857142857143,11.6666666667,,19.0
370,2016,Regular,2,TB,Russell Shepard,WR,2,2,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,7,40,ARI,0,0,1.0,0.0,8.0,,3.6
371,2016,Regular,2,TB,Vincent Jackson,WR,4,9,0,0,0,8,44,0,0,0,0,0,0,0,0,0,0,7,40,ARI,0,0,0.444444444444,0.0,11.0,,8.4
372,2016,Regular,2,BUF,Marquise Goodwin,WR,2,5,1,0,0,51,112,0,0,0,0,0,0,0,0,0,0,31,37,NYJ,1,6,0.4,0.193548387097,56.0,,22.2
373,2016,Regular,2,BUF,Robert Woods,WR,1,2,0,0,0,-3,10,0,0,0,0,0,0,0,0,0,0,31,37,NYJ,1,0,0.5,0.0,10.0,,2.0
374,2016,Regular,2,BUF,Sammy Watkins,WR,2,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,31,37,NYJ,1,0,0.4,0.0,10.0,,4.0
375,2016,Regular,2,NYJ,Brandon Marshall,WR,6,9,0,0,0,30,101,0,0,0,0,0,0,0,0,0,0,37,31,BUF,0,0,0.666666666667,0.0,16.8333333333,,19.1
376,2016,Regular,2,NYJ,Eric Decker,WR,6,8,1,0,0,15,126,0,0,0,0,0,0,0,0,0,0,37,31,BUF,0,6,0.75,0.162162162162,21.0,,27.6
377,2016,Regular,2,NYJ,Jalin Marshall,WR,3,4,0,0,0,9,45,1,0,0,0,0,0,0,0,0,0,37,31,BUF,0,0,0.75,0.0,15.0,,6.5
378,2016,Regular,2,NYJ,Quincy Enunwa,WR,6,6,0,0,0,15,92,0,0,0,0,0,0,0,0,0,0,37,31,BUF,0,0,1.0,0.0,15.3333333333,,15.2
379,2016,Regular,2,CAR,Corey Brown,WR,3,6,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,46,27,SF,1,0,0.5,0.0,5.0,,4.5
380,2016,Regular,2,CAR,Devin Funchess,WR,2,4,1,0,0,4,19,0,0,0,0,0,0,0,0,0,0,46,27,SF,1,6,0.5,0.130434782609,9.5,,9.9
381,2016,Regular,2,CAR,Kelvin Benjamin,WR,7,9,2,0,0,11,108,0,0,0,0,0,0,0,0,0,0,46,27,SF,1,12,0.777777777778,0.260869565217,15.4285714286,,32.8
382,2016,Regular,2,CAR,Ted Ginn,WR,2,4,0,0,0,3,51,1,0,0,0,0,1,5,0,0,0,46,27,SF,1,0,0.5,0.0,25.5,5.0,6.6
383,2016,Regular,2,SF,Jeremy Kerley,WR,3,6,0,0,0,23,29,0,0,0,0,0,0,0,0,0,0,27,46,CAR,0,0,0.5,0.0,9.66666666667,,5.9
384,2016,Regular,2,SF,Quinton Patton,WR,3,6,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,27,46,CAR,0,0,0.5,0.0,8.33333333333,,5.5
385,2016,Regular,2,SF,Rod Streater,WR,1,2,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,27,46,CAR,0,0,0.5,0.0,13.0,,2.3
386,2016,Regular,2,SF,Torrey Smith,WR,3,10,1,0,0,4,55,0,0,0,0,0,0,0,0,0,0,27,46,CAR,0,6,0.3,0.222222222222,18.3333333333,,14.5
387,2016,Regular,2,CHI,Alshon Jeffery,WR,5,7,0,0,0,14,96,0,0,0,0,0,0,0,0,0,0,14,29,PHI,1,0,0.714285714286,0.0,19.2,,14.6
388,2016,Regular,2,CHI,Eddie Royal,WR,4,6,0,0,0,42,52,0,0,0,0,1,0,0,0,0,0,14,29,PHI,1,6,0.666666666667,0.428571428571,13.0,,15.2
389,2016,Regular,2,CHI,Kevin White,WR,4,6,0,0,0,11,36,0,0,0,0,0,1,9,0,0,0,14,29,PHI,1,0,0.666666666667,0.0,9.0,9.0,8.5
390,2016,Regular,2,PHI,Dorial Green-Beckham,WR,2,4,0,0,0,11,18,0,0,0,0,0,0,0,0,0,0,29,14,CHI,0,0,0.5,0.0,9.0,,3.8
