,season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
108,2016,Preseason,1,UNK,28,DAL,24,DAL,Chris Brown,WR,3,4,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0
109,2016,Preseason,1,UNK,28,DAL,24,DAL,Cole Beasley,WR,2,2,0,0,0,9,23,0,0,0,0,0,0,0,0,0,0
110,2016,Preseason,1,UNK,28,DAL,24,DAL,Devin Street,WR,2,2,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0
111,2016,Preseason,1,UNK,28,DAL,24,DAL,Dez Bryant,WR,2,2,1,0,0,1,28,0,0,0,0,0,0,0,0,0,0
112,2016,Preseason,1,UNK,28,DAL,24,DAL,Lucky Whitehead,WR,1,1,0,0,0,2,6,0,0,0,1,0,1,11,0,0,0
113,2016,Preseason,1,UNK,28,DAL,24,DAL,Terrance Williams,WR,1,1,1,0,0,1,32,0,0,0,0,0,0,0,0,0,0
114,2016,Preseason,1,UNK,28,DAL,24,UNK,Brian Quick,WR,1,2,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0
115,2016,Preseason,1,UNK,28,DAL,24,UNK,Kenny Britt,WR,1,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
116,2016,Preseason,1,UNK,28,DAL,24,UNK,Nelson Spruce,WR,6,8,1,0,0,36,51,0,0,0,0,0,0,0,0,0,0
117,2016,Regular,1,ARI,21,NE,23,ARI,J.J. Nelson,WR,1,2,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
118,2016,Regular,1,ARI,21,NE,23,ARI,Jaron Brown,WR,1,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
119,2016,Regular,1,ARI,21,NE,23,ARI,John Brown,WR,1,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
120,2016,Regular,1,ARI,21,NE,23,ARI,Larry Fitzgerald,WR,8,10,2,0,0,27,81,0,0,0,0,0,0,0,0,0,0
121,2016,Regular,1,ARI,21,NE,23,ARI,Michael Floyd,WR,3,7,0,0,0,16,61,0,0,0,0,0,0,0,0,0,0
122,2016,Regular,1,ARI,21,NE,23,NE,Chris Hogan,WR,3,4,1,0,0,33,60,0,0,0,0,0,0,0,0,0,0
123,2016,Regular,1,ARI,21,NE,23,NE,Danny Amendola,WR,3,4,0,0,0,5,48,0,0,0,0,0,0,0,0,0,0
124,2016,Regular,1,ARI,21,NE,23,NE,Julian Edelman,WR,7,7,0,0,0,24,66,0,0,0,0,0,3,16,0,0,0
125,2016,Regular,1,ARI,21,NE,23,NE,Malcolm Mitchell,WR,2,5,0,0,0,21,33,0,0,0,0,0,0,0,0,0,0
126,2016,Regular,1,ATL,24,TB,31,ATL,Julio Jones,WR,4,8,1,0,0,37,66,0,0,0,0,0,0,0,0,0,0
127,2016,Regular,1,ATL,24,TB,31,ATL,Justin Hardy,WR,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,2016,Regular,1,ATL,24,TB,31,ATL,Mohamed Sanu,WR,5,8,1,1,1,49,80,0,0,0,0,0,0,0,0,0,0
129,2016,Regular,1,ATL,24,TB,31,TB,Adam Humphries,WR,3,5,0,0,0,26,34,0,0,0,0,0,1,7,0,0,0
130,2016,Regular,1,ATL,24,TB,31,TB,Mike Evans,WR,5,7,1,0,0,8,99,0,0,0,0,0,0,0,0,0,0
131,2016,Regular,1,ATL,24,TB,31,TB,Vincent Jackson,WR,2,7,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0
132,2016,Regular,1,BAL,13,BUF,7,BAL,Breshad Perriman,WR,1,2,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0
133,2016,Regular,1,BAL,13,BUF,7,BAL,Chris Moore,WR,1,2,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0
134,2016,Regular,1,BAL,13,BUF,7,BAL,Kamar Aiken,WR,2,2,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
135,2016,Regular,1,BAL,13,BUF,7,BAL,Mike Wallace,WR,3,6,1,0,0,38,91,0,0,0,0,0,1,11,0,0,0
136,2016,Regular,1,BAL,13,BUF,7,BAL,Steve Smith,WR,5,9,0,0,0,12,19,0,0,0,0,0,0,0,0,0,0
137,2016,Regular,1,BAL,13,BUF,7,BUF,Robert Woods,WR,4,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
138,2016,Regular,1,BAL,13,BUF,7,BUF,Sammy Watkins,WR,4,6,0,0,0,7,43,0,0,0,0,0,0,0,0,0,0
139,2016,Regular,1,DAL,19,NYG,20,DAL,Brice Butler,WR,1,2,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0
140,2016,Regular,1,DAL,19,NYG,20,DAL,Cole Beasley,WR,8,12,0,0,0,23,65,0,0,0,0,0,0,0,0,0,0
141,2016,Regular,1,DAL,19,NYG,20,DAL,Dez Bryant,WR,1,5,0,0,0,-3,8,0,0,0,0,0,0,0,0,0,0
142,2016,Regular,1,DAL,19,NYG,20,DAL,Terrance Williams,WR,3,4,0,0,0,9,34,0,0,0,0,0,0,0,0,0,0
143,2016,Regular,1,DAL,19,NYG,20,NYG,Odell Beckham,WR,4,8,0,0,0,16,73,0,0,0,0,0,0,0,0,0,0
