season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,puntret_tds,kickret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
2016,Regular,1,KC,33,SD,27,SD,Hunter Henry,TE,1,2,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,NO,34,OAK,35,NO,Coby Fleener,TE,1,4,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,NO,34,OAK,35,OAK,Clive Walford,TE,3,5,0,0,0,12,25,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,NYJ,22,CIN,23,CIN,C.J. Uzomah,TE,2,5,0,0,0,37,59,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,PHI,29,CLE,10,PHI,Brent Celek,TE,1,1,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,PHI,29,CLE,10,PHI,Zach Ertz,TE,6,7,0,0,0,18,58,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,SEA,12,MIA,10,MIA,Jordan Cameron,TE,2,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,SEA,12,MIA,10,SEA,Jimmy Graham,TE,1,1,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,SEA,12,MIA,10,SEA,Luke Willson,TE,2,4,0,0,0,16,26,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,SF,28,LA,0,LA,Lance Kendricks,TE,2,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,SF,28,LA,0,LA,Tyler Higbee,TE,1,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,SF,28,LA,0,SF,Garrett Celek,TE,1,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,SF,28,LA,0,SF,Vance McDonald,TE,2,3,1,0,0,4,14,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,TEN,16,MIN,25,MIN,Kyle Rudolph,TE,4,8,0,0,0,28,65,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,TEN,16,MIN,25,TEN,Delanie Walker,TE,3,5,0,0,0,16,42,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,WAS,16,PIT,38,PIT,Jesse James,TE,5,7,0,0,0,17,31,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,WAS,16,PIT,38,WAS,Jordan Reed,TE,7,11,0,0,0,36,64,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,WAS,16,PIT,38,WAS,Vernon Davis,TE,1,1,0,0,0,14,20,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,BUF,21,NYG,0,BUF,Charles Clay,TE,1,1,0,0,0,15,59,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,BUF,21,NYG,0,BUF,Chris Gragg,TE,1,1,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,BUF,21,NYG,0,BUF,Nick O'Leary,TE,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,BUF,21,NYG,0,NYG,Jerell Adams,TE,1,1,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,BUF,21,NYG,0,NYG,Will Tye,TE,2,3,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,CLE,13,ATL,24,ATL,Austin Hooper,TE,1,3,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,CLE,13,ATL,24,ATL,Jacob Tamme,TE,1,1,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,CLE,13,ATL,24,ATL,Josh Perkins,TE,2,2,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,CLE,13,ATL,24,ATL,Levine Toilolo,TE,1,2,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,CLE,13,ATL,24,CLE,Gary Barnidge,TE,2,2,1,0,0,2,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,CLE,13,ATL,24,CLE,Randall Telfer,TE,1,1,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DAL,41,MIA,14,DAL,Gavin Escobar,TE,1,1,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DAL,41,MIA,14,DAL,Geoff Swaim,TE,2,2,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DAL,41,MIA,14,DAL,Jason Witten,TE,2,2,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DAL,41,MIA,14,MIA,Dion Sims,TE,2,2,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DAL,41,MIA,14,MIA,Dominique Jones,TE,2,3,0,0,0,9,36,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DAL,41,MIA,14,MIA,Jordan Cameron,TE,1,2,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DEN,24,SF,31,DEN,John Phillips,TE,2,5,1,0,0,2,17,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DEN,24,SF,31,DEN,Virgil Green,TE,4,4,0,0,0,33,57,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DEN,24,SF,31,SF,Garrett Celek,TE,2,2,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DEN,24,SF,31,SF,Je'Ron Hamm,TE,1,1,0,0,0,11,23,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DEN,24,SF,31,SF,Vance McDonald,TE,3,4,0,0,0,13,38,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DET,14,CIN,30,CIN,Matt Lengel,TE,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,DET,14,CIN,30,DET,Cole Wick,TE,2,2,0,0,0,9,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,GB,20,OAK,12,GB,Jared Cook,TE,2,2,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,HOU,16,NO,9,HOU,C.J. Fiedorowicz,TE,1,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,HOU,16,NO,9,HOU,Ryan Griffin,TE,1,2,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,HOU,16,NO,9,HOU,Stephen Anderson,TE,2,4,0,0,0,12,21,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,HOU,16,NO,9,NO,Chris Manhertz,TE,2,4,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,HOU,16,NO,9,NO,Coby Fleener,TE,2,2,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,HOU,16,NO,9,NO,Josh Hill,TE,1,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,IND,18,BAL,19,BAL,Crockett Gillmore,TE,2,3,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,IND,18,BAL,19,BAL,Daniel Brown,TE,2,2,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,IND,18,BAL,19,IND,Dwayne Allen,TE,2,2,0,0,0,8,10,1,0,0,0,0,0,0,0,0,0
2016,Preseason,2,IND,18,BAL,19,IND,Erik Swoope,TE,3,4,0,1,0,23,36,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,JAC,21,TB,27,TB,Austin Seferian-Jenkins,TE,3,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,NE,23,CHI,22,NE,A.J. Derby,TE,6,7,1,0,0,3,71,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,NE,23,CHI,22,NE,Clay Harbor,TE,2,2,0,0,0,22,23,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,NE,23,CHI,22,NE,Martellus Bennett,TE,2,2,0,0,0,9,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,PIT,0,PHI,17,PHI,Brent Celek,TE,1,3,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,PIT,0,PHI,17,PHI,Trey Burton,TE,2,2,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,PIT,0,PHI,17,PHI,Zach Ertz,TE,3,4,0,0,0,13,24,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,PIT,0,PHI,17,PIT,Jesse James,TE,2,2,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,SD,19,ARI,3,ARI,Darren Fells,TE,1,1,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,SD,19,ARI,3,ARI,Gerald Christian,TE,1,1,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,SD,19,ARI,3,ARI,Ifeanyi Momah,TE,2,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,SD,19,ARI,3,SD,Hunter Henry,TE,1,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,SEA,11,MIN,18,MIN,Kyle Rudolph,TE,2,3,0,0,0,15,54,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,SEA,11,MIN,18,MIN,MyCole Pruitt,TE,1,4,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,SEA,11,MIN,18,SEA,Nick Vannett,TE,1,1,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,TEN,16,CAR,26,TEN,Alex Ellis,TE,2,2,1,0,0,4,17,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,TEN,16,CAR,26,TEN,Delanie Walker,TE,1,1,0,0,0,0,9,0,0,0,0,0,1,7,0,0,0
2016,Preseason,2,TEN,16,CAR,26,TEN,Phillip Supernaw,TE,3,3,0,0,0,10,22,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,UNK,21,KC,20,KC,Demetrius Harris,TE,1,1,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,UNK,21,KC,20,KC,Ross Travis,TE,1,1,0,0,0,-1,9,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,UNK,21,KC,20,KC,Travis Kelce,TE,3,5,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,UNK,21,KC,20,UNK,Lance Kendricks,TE,1,1,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,UNK,21,KC,20,UNK,Temarrick Hemingway,TE,1,1,0,0,0,11,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,WAS,22,NYJ,18,NYJ,Brandon Bostick,TE,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,WAS,22,NYJ,18,NYJ,Jace Amaro,TE,2,4,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,WAS,22,NYJ,18,NYJ,Kellen Davis,TE,1,1,0,0,0,4,14,1,0,0,0,0,0,0,0,0,0
2016,Preseason,2,WAS,22,NYJ,18,WAS,Logan Paulsen,TE,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
2016,Preseason,2,WAS,22,NYJ,18,WAS,Niles Paul,TE,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,ARI,40,TB,7,ARI,Darren Fells,TE,4,5,0,0,0,25,31,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,ARI,40,TB,7,TB,Austin Seferian-Jenkins,TE,2,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,ARI,40,TB,7,TB,Cameron Brate,TE,3,4,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,BUF,31,NYJ,37,BUF,Charles Clay,TE,5,7,0,0,0,17,27,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,CAR,46,SF,27,CAR,Greg Olsen,TE,5,8,1,0,0,50,122,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,CAR,46,SF,27,SF,Blake Bell,TE,1,2,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,CAR,46,SF,27,SF,Garrett Celek,TE,1,2,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,CAR,46,SF,27,SF,Vance McDonald,TE,1,2,1,0,0,60,75,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,CHI,14,PHI,29,CHI,Zach Miller,TE,4,5,0,0,0,12,33,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,CHI,14,PHI,29,PHI,Trey Burton,TE,5,7,1,0,0,16,49,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,CLE,20,BAL,25,BAL,Crockett Gillmore,TE,1,3,0,0,0,7,22,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,CLE,20,BAL,25,BAL,Dennis Pitta,TE,9,12,0,0,0,58,102,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,CLE,20,BAL,25,CLE,Gary Barnidge,TE,4,5,0,0,0,6,37,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,DEN,34,IND,20,DEN,Virgil Green,TE,3,3,0,0,0,21,46,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,DEN,34,IND,20,IND,Dwayne Allen,TE,2,4,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,DEN,34,IND,20,IND,Jack Doyle,TE,4,5,0,0,0,16,37,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,DET,15,TEN,16,DET,Eric Ebron,TE,4,7,0,0,0,23,53,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,DET,15,TEN,16,TEN,Anthony Fasano,TE,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,Regular,2,DET,15,TEN,16,TEN,Delanie Walker,TE,6,6,1,0,0,33,83,0,0,0,0,0,0,0,0,0,0
