Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
11/4/12, Lions, Jaguars,-5.5,5.5,44.5
11/4/12, Bears, Titans,-3.5,3.5,43.5
11/4/12, Vikings, Seahawks,4,-4,39
11/4/12, Buccaneers, Raiders,1,-1,47
11/4/12, Steelers, Giants,3.5,-3.5,47.5
11/4/12, Cowboys, Falcons,3.5,-3.5,47.5
11/5/12, Eagles, Saints,3,-3,52
11/8/12, Colts, Jaguars,-3,3,42.5
11/11/12, Bills, Patriots,13,-13,53
11/11/12, Giants, Bengals,-4,4,48.5
11/11/12, Chargers, Buccaneers,3,-3,47
11/11/12, Broncos, Panthers,-3.5,3.5,47
11/11/12, Titans, Dolphins,6,-6,44
11/11/12, Raiders, Ravens,9,-9,47.5
11/11/12, Falcons, Saints,-1,1,53
11/11/12, Lions, Vikings,-3,3,46.5
11/11/12, Jets, Seahawks,6,-6,39
11/11/12, Cowboys, Eagles,-1,1,44.5
11/11/12, Rams, 49ers,12.5,-12.5,38.5
11/11/12, Texans, Bears,1,-1,40
11/12/12, Chiefs, Steelers,11.5,-11.5,41
11/15/12, Dolphins, Bills,1,-1,45
11/18/12, Packers, Lions,-3,3,52.5
11/18/12, Cardinals, Falcons,9.5,-9.5,44
11/18/12, Buccaneers, Panthers,-1,1,48
11/18/12, Browns, Cowboys,7.5,-7.5,43.5
11/18/12, Jets, Rams,3.5,-3.5,39
11/18/12, Colts, Patriots,10,-10,54
11/18/12, Jaguars, Texans,15.5,-15.5,40.5
11/18/12, Bengals, Chiefs,-3.5,3.5,43
11/18/12, Saints, Raiders,-4.5,4.5,55
11/18/12, Chargers, Broncos,9,-9,48
11/18/12, Ravens, Steelers,-3.5,3.5,40
11/18/12, Eagles, Redskins,3.5,-3.5,44
11/19/12, Bears, 49ers,5,-5,35.5
11/22/12, Texans, Lions,-3,3,50
11/22/12, Redskins, Cowboys,3.5,-3.5,48
11/22/12, Patriots, Jets,-7,7,48.5
11/25/12, Raiders, Bengals,9.5,-9.5,51
11/25/12, Bills, Colts,3,-3,51
11/25/12, Broncos, Chiefs,-10,10,43
11/25/12, Titans, Jaguars,-3.5,3.5,45
11/25/12, Falcons, Buccaneers,-1,1,51
11/25/12, Seahawks, Dolphins,-2.5,2.5,37.5
11/25/12, Ravens, Chargers,-1,1,47.5
11/25/12, Rams, Cardinals,1,-1,37
11/25/12, Packers, Giants,3,-3,51
11/25/12, 49ers, Saints,-1,1,49
11/25/12, Steelers, Browns,-1,1,34
11/25/12, Vikings, Bears,7,-7,38.5
11/26/12, Panthers, Eagles,-3,3,40.5
11/29/12, Saints, Falcons,3.5,-3.5,55.5
12/2/12, Seahawks, Bears,3.5,-3.5,37.5
12/2/12, Vikings, Packers,7.5,-7.5,47
12/2/12, 49ers, Rams,-7.5,7.5,40.5
12/2/12, Cardinals, Jets,6,-6,36.5
12/2/12, Panthers, Chiefs,-4,4,39
12/2/12, Colts, Lions,6,-6,50.5
12/2/12, Jaguars, Bills,6,-6,42.5
12/2/12, Patriots, Dolphins,-7.5,7.5,51
12/2/12, Texans, Titans,-6.5,6.5,47.5
12/2/12, Buccaneers, Broncos,9,-9,50.5
12/2/12, Bengals, Chargers,-1,1,46.5
12/2/12, Eagles, Cowboys,10.5,-10.5,43
12/2/12, Steelers, Ravens,7.5,-7.5,36
12/2/12, Browns, Raiders,-2.5,2.5,37.5
12/3/12, Giants, Redskins,-3,3,51
12/6/12, Broncos, Raiders,-10,10,48
12/9/12, Ravens, Redskins,1,-1,47.5
12/9/12, Chiefs, Browns,7,-7,38
12/9/12, Titans, Colts,5,-5,46.5
12/9/12, Jets, Jaguars,-3,3,38.5
12/9/12, Bears, Vikings,-3,3,39.5
12/9/12, Falcons, Panthers,-3.5,3.5,47.5
12/9/12, Rams, Bills,3,-3,42.5
12/9/12, Cowboys, Bengals,3.5,-3.5,46
12/9/12, Dolphins, 49ers,10.5,-10.5,38.5
12/9/12, Saints, Giants,5,-5,53
12/9/12, Cardinals, Seahawks,9.5,-9.5,35.5
12/9/12, Lions, Packers,6.5,-6.5,48.5
12/9/12, Eagles, Buccaneers,9,-9,48
12/9/12, Chargers, Steelers,9,-9,39.5
12/10/12, Texans, Patriots,3.5,-3.5,51
12/13/12, Bengals, Eagles,-4.5,4.5,44.5
12/16/12, Giants, Falcons,1,-1,49.5
12/16/12, Buccaneers, Saints,4,-4,54
12/16/12, Vikings, Rams,2.5,-2.5,39
12/16/12, Jaguars, Dolphins,9,-9,38
12/16/12, Colts, Texans,10,-10,48
12/16/12, Panthers, Chargers,3,-3,45
12/16/12, Seahawks, Bills,-5,5,43.5
12/16/12, Lions, Cardinals,-6.5,6.5,43.5
12/16/12, Steelers, Cowboys,-1,1,45
12/16/12, Chiefs, Raiders,3.5,-3.5,43.5
12/16/12, 49ers, Patriots,4.5,-4.5,47
12/16/12, Broncos, Ravens,-3,3,48
12/16/12, Packers, Bears,-1,1,43.5
12/16/12, Redskins, Browns,3,-3,40
12/17/12, Jets, Titans,1,-1,41.5
12/22/12, Falcons, Lions,-4,4,50.5
