team,spread,o/u,season_year,week
PIT,-15.0,37.0,2009,13
ARI,3.0,48.0,2009,13
GB,-4.0,43.0,2009,13
CLE,9.5,34.5,2009,14
IND,-6.5,43.5,2009,14
KC,1.0,38.0,2009,14
JAC,-1.0,43.5,2009,14
NE,-13.0,43.5,2009,14
HOU,-7.0,44.5,2009,14
TEN,-13.5,41.0,2009,14
OAK,1.0,37.5,2009,14
DAL,-3.5,48.5,2009,14
NYG,1.0,43.0,2009,14
MIN,-6.0,42.0,2009,14
CHI,3.5,42.0,2009,14
BAL,-14.0,40.0,2009,14
TB,3.5,36.0,2009,14
ATL,10.0,50.0,2009,14
SF,4.0,44.5,2009,14
JAC,3.0,43.0,2009,15
NO,-9.0,53.5,2009,15
PIT,-3.0,41.5,2009,15
BUF,7.0,41.5,2009,15
BAL,-10.5,39.5,2009,15
KC,-1.0,38.5,2009,15
SD,-7.0,44.0,2009,15
SEA,-7.0,39.0,2009,15
CAR,9.0,42.5,2009,15
DEN,-14.0,37.0,2009,15
DET,14.0,46.5,2009,15
PHI,-9.0,41.0,2009,15
TEN,-5.0,43.0,2009,15
STL,14.0,43.0,2009,15
NYJ,-5.5,36.0,2009,15
WAS,2.5,44.0,2009,15
TEN,-1.0,47.5,2009,16
GB,-13.5,43.0,2009,16
CIN,-13.0,39.0,2009,16
MIA,-1.0,46.0,2009,16
NO,-13.5,48.0,2009,16
NE,-9.0,44.0,2009,16
PIT,-3.0,43.0,2009,16
PHI,-7.0,42.5,2009,16
SF,-14.0,41.0,2009,16
ATL,-9.0,40.0,2009,16
ARI,-16.0,44.0,2009,16
IND,-3.5,40.5,2009,16
WAS,7.0,42.0,2009,16
CLE,-3.0,37.0,2009,16
NYG,-9.0,42.5,2009,16
CHI,9.0,41.0,2009,16
CLE,-1.5,36.0,2009,17
DAL,-3.0,47.0,2009,17
HOU,-9.0,46.0,2009,17
NYJ,-9.5,33.5,2009,17
TB,2.5,41.5,2009,17
DEN,-9.5,38.0,2009,17
OAK,10.0,39.0,2009,17
SEA,5.5,45.0,2009,17
ARI,-3.0,41.5,2009,17
SD,-3.5,39.5,2009,17
DET,4.0,44.5,2009,17
MIN,-9.0,47.5,2009,17
STL,7.0,39.5,2009,17
MIA,3.0,45.0,2009,17
BUF,-9.0,33.0,2009,17
CAR,-10.0,41.0,2009,17
