Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
12/5/10, 49ers, Packers,9,-9,41
12/5/10, Rams, Cardinals,-3.5,3.5,44
12/5/10, Jaguars, Titans,3,-3,43
12/6/10, Jets, Patriots,4,-4,44.5
12/9/10, Colts, Titans,-3,3,44.5
12/12/10, Raiders, Jaguars,4,-4,41.5
12/12/10, Browns, Bills,1,-1,39
12/12/10, Packers, Lions,-6.5,6.5,46.5
12/12/10, Falcons, Panthers,-7.5,7.5,41.5
12/12/10, Buccaneers, Redskins,-1.5,1.5,41
12/12/10, Rams, Saints,9.5,-9.5,46.5
12/12/10, Seahawks, 49ers,5,-5,42
12/12/10, Broncos, Cardinals,-4,4,44
12/12/10, Chiefs, Chargers,10,-10,45.5
12/12/10, Eagles, Cowboys,-4,4,50.5
12/12/10, Bengals, Steelers,9,-9,39.5
12/12/10, Dolphins, Jets,5,-5,38
12/12/10, Patriots, Bears,-3,3,37.5
12/13/10, Ravens, Texans,-3,3,46.5
12/13/10, Giants, Vikings,-4.5,4.5,43.5
12/16/10, 49ers, Chargers,10,-10,44
12/19/10, Jaguars, Colts,4.5,-4.5,48
12/19/10, Cardinals, Panthers,2.5,-2.5,37.5
12/19/10, Browns, Bengals,1,-1,41.5
12/19/10, Bills, Dolphins,5.5,-5.5,40
12/19/10, Lions, Buccaneers,4,-4,42.5
12/19/10, Falcons, Seahawks,-6,6,46
12/19/10, Jets, Steelers,4,-4,35.5
12/19/10, Broncos, Raiders,7.5,-7.5,42
12/19/10, Texans, Titans,1,-1,47
12/19/10, Eagles, Giants,3,-3,46.5
12/19/10, Redskins, Cowboys,9.5,-9.5,44.5
12/19/10, Saints, Ravens,2,-2,44.5
12/19/10, Chiefs, Rams,3,-3,42.5
12/19/10, Packers, Patriots,14,-14,43.5
12/20/10, Bears, Vikings,-5.5,5.5,34
12/23/10, Panthers, Steelers,14,-14,37.5
12/25/10, Cowboys, Cardinals,-7,7,45
12/26/10, Lions, Dolphins,4,-4,41
12/26/10, Redskins, Jaguars,7,-7,45
12/26/10, 49ers, Rams,2.5,-2.5,40
12/26/10, Seahawks, Buccaneers,5.5,-5.5,43.5
12/26/10, Ravens, Browns,-3.5,3.5,39.5
12/26/10, Titans, Chiefs,4,-4,42.5
12/26/10, Colts, Raiders,-2,2,46.5
12/26/10, Texans, Broncos,-2.5,2.5,49
12/26/10, Chargers, Bengals,-7.5,7.5,43.5
12/26/10, Patriots, Bills,-7.5,7.5,45.5
12/26/10, Jets, Bears,2.5,-2.5,35.5
12/26/10, Giants, Packers,3,-3,43
12/27/10, Saints, Falcons,2.5,-2.5,50
12/28/10, Vikings, Eagles,14,-14,44
1/2/11, Titans, Colts,9,-9,47.5
1/2/11, Steelers, Browns,-6,6,38
1/2/11, Bengals, Ravens,10,-10,43
1/2/11, Giants, Redskins,-4,4,44.5
1/2/11, Rams, Seahawks,-3,3,42.5
1/2/11, Cardinals, 49ers,6,-6,39.5
1/2/11, Chargers, Broncos,-5,5,47
1/2/11, Jaguars, Texans,4,-4,47.5
1/2/11, Raiders, Chiefs,4.5,-4.5,43.5
1/2/11, Dolphins, Patriots,4.5,-4.5,44
1/2/11, Panthers, Falcons,14,-14,41
