,season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points,mean_receiving_rec_last_4_weeks,mean_receiving_tar_last_4_weeks,mean_receiving_tds_last_4_weeks,mean_receiving_twopta_last_4_weeks,mean_receiving_twoptm_last_4_weeks,mean_receiving_yac_last_4_weeks,mean_receiving_yds_last_4_weeks,mean_fumbles_total_last_4_weeks,mean_fumble_rec_tds_last_4_weeks,mean_kicking_rec_tds_last_4_weeks,mean_kickret_tds_last_4_weeks,mean_puntret_tds_last_4_weeks,mean_rushing_att_last_4_weeks,mean_rushing_yds_last_4_weeks,mean_rushing_tds_last_4_weeks,mean_rushing_loss_yards_last_4_weeks,mean_rushing_twoptm_last_4_weeks,mean_team_score_last_4_weeks,mean_opp_score_last_4_weeks,mean_total_points_last_4_weeks,mean_rec_percentage_last_4_weeks,mean_score_percentage_last_4_weeks,mean_yds_per_rec_last_4_weeks,mean_yds_per_rush_last_4_weeks,opp_fp_allowed_last_week,opp_fp_allowed_last_4_weeks
96,2009,Regular,3,CHI,Devin Hester,WR,5,8,1,0,0,42,76,0,0,0,0,0,0,0,0,0,0,25,19,SEA,0,6,0.625,0.24,15.2,0.0,18.6,4.0,5.5,0.5,0.0,0.0,20.5,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.5,3.0,0.785714285714,0.2,13.875,0.0,0.0,8.05
97,2009,Regular,3,GB,Jordy Nelson,WR,3,5,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,36,17,STL,0,0,0.6,0.0,15.3333333333,0.0,7.6,1.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,31.0,0.0,1.0,0.0,11.0,0.0,0.0,12.975
108,2009,Regular,4,CHI,Devin Hester,WR,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,48,24,DET,1,0,1.0,0.0,2.0,0.0,1.2,4.33333333333,6.33333333333,0.666666666667,0.0,0.0,27.6666666667,62.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,4.0,0.732142857143,0.213333333333,14.3166666667,0.0,0.0,15.2
109,2009,Regular,4,DEN,Brandon Marshall,WR,4,6,1,0,0,46,91,0,0,0,0,0,0,0,0,0,0,17,10,DAL,1,6,0.666666666667,0.352941176471,22.75,0.0,19.1,4.0,6.66666666667,0.333333333333,0.333333333333,0.0,12.3333333333,42.6666666667,0.0,0.0,0.0,0.0,0.0,0.666666666667,6.33333333333,0.0,0.0,0.0,20.6666666667,5.33333333333,2.0,0.595238095238,0.086956521739,10.4944444444,6.33333333333,,6.8
110,2009,Regular,4,DEN,Eddie Royal,WR,2,6,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,17,10,DAL,1,0,0.333333333333,0.0,8.0,0.0,3.6,2.0,5.33333333333,0.0,0.0,0.0,12.3333333333,14.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6666666667,5.33333333333,0.0,0.388888888889,0.0,6.55555555556,0.0,,6.8
111,2009,Regular,4,OAK,Darrius Heyward-Bey,WR,1,6,0,0,0,4,18,0,0,0,0,0,1,20,0,0,0,6,29,HOU,0,0,0.166666666667,0.0,18.0,20.0,4.8,1.0,6.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.5,10.0,0.0,0.0,0.0,9.5,19.5,0.0,0.166666666667,0.0,18.0,10.0,0.0,13.75
112,2009,Regular,4,IND,Pierre Garcon,WR,3,4,0,0,0,13,71,0,0,0,0,0,0,0,0,0,0,34,17,SEA,1,0,0.75,0.0,23.6666666667,0.0,10.1,2.33333333333,4.33333333333,0.666666666667,0.0,0.0,25.0,45.3333333333,0.0,0.0,0.0,0.0,0.0,0.333333333333,5.66666666667,0.0,0.0,0.0,24.0,15.0,4.0,0.511111111111,0.138590203106,25.7777777778,5.66666666667,,18.6
113,2009,Regular,4,TEN,Kenny Britt,WR,7,11,0,0,0,48,105,0,0,0,0,0,0,0,0,0,0,17,37,JAC,0,0,0.636363636364,0.0,15.0,0.0,20.5,3.33333333333,4.66666666667,0.0,0.0,0.0,13.3333333333,55.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3333333333,23.6666666667,0.0,0.777777777778,0.0,15.6666666667,0.0,0.0,13.825
114,2009,Regular,4,MIA,Ted Ginn,WR,1,3,0,0,0,2,4,0,0,0,0,0,1,22,0,0,0,38,10,BUF,1,0,0.333333333333,0.0,4.0,22.0,3.6,4.66666666667,8.0,0.0,0.0,0.0,2.66666666667,46.0,0.0,0.0,0.0,0.0,0.0,1.0,10.3333333333,0.0,0.0,0.0,22.6666666667,18.6666666667,0.0,0.473611111111,0.0,8.93939393939,8.83333333333,0.0,6.775
115,2009,Regular,4,GB,Jordy Nelson,WR,3,4,1,0,0,17,47,1,0,0,0,0,0,0,0,0,0,23,30,MIN,0,6,0.75,0.260869565217,15.6666666667,0.0,12.7,2.0,3.0,0.0,0.0,0.0,2.5,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,24.0,0.0,0.8,0.0,13.1666666666,0.0,0.0,9.325
