,season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,puntret_tds,kickret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points,mean_receiving_rec_last_4_weeks,mean_receiving_tar_last_4_weeks,mean_receiving_tds_last_4_weeks,mean_receiving_twopta_last_4_weeks,mean_receiving_twoptm_last_4_weeks,mean_receiving_yac_last_4_weeks,mean_receiving_yds_last_4_weeks,mean_fumbles_total_last_4_weeks,mean_fumble_rec_tds_last_4_weeks,mean_kicking_rec_tds_last_4_weeks,mean_puntret_tds_last_4_weeks,mean_kickret_tds_last_4_weeks,mean_rushing_att_last_4_weeks,mean_rushing_yds_last_4_weeks,mean_rushing_tds_last_4_weeks,mean_rushing_loss_yards_last_4_weeks,mean_rushing_twoptm_last_4_weeks,mean_team_score_last_4_weeks,mean_opp_score_last_4_weeks,mean_total_points_last_4_weeks,mean_rec_percentage_last_4_weeks,mean_score_percentage_last_4_weeks,mean_yds_per_rec_last_4_weeks,mean_yds_per_rush_last_4_weeks,opp_fp_allowed_last_week,opp_fp_allowed_last_4_weeks
85,2009,Regular,4,CHI,Kellen Davis,TE,2,2,1,0,0,6,20,0,0,0,0,0,0,0,0,0,0,48,24,DET,1,6,1.0,0.125,10.0,0.0,10.0,3.5,4.0,1.0,0.0,0.0,7.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,19.0,6.0,0.916666666666,0.238970588236,8.8,0.0,0.0,6.25
86,2009,Regular,4,DAL,Jason Witten,TE,4,4,0,0,0,20,31,0,0,0,0,0,0,0,0,0,0,10,17,DEN,0,0,1.0,0.0,7.75,0.0,7.1,6.33333333333,7.66666666667,0.333333333333,0.0,0.0,21.6666666667,60.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6666666667,20.3333333333,2.0,0.809523809524,0.0645161290323,9.78518518519,0.0,0.0,4.9
87,2009,Regular,4,DAL,Martellus Bennett,TE,1,1,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,10,17,DEN,0,0,1.0,0.0,13.0,0.0,2.3,1.0,3.0,0.0,0.0,0.0,1.66666666667,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6666666667,20.3333333333,0.0,0.361111111111,0.0,9.0,0.0,0.0,4.9
88,2009,Regular,4,JAC,Marcedes Lewis,TE,4,5,1,0,0,34,76,0,0,0,0,0,0,0,0,0,0,37,17,TEN,1,6,0.8,0.162162162162,19.0,0.0,17.6,2.33333333333,4.33333333333,0.333333333333,0.0,0.0,9.66666666667,34.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,2.0,0.533333333333,0.117647058824,15.4444444445,0.0,0.0,3.85
89,2009,Regular,4,JAC,Zach Miller,TE,3,3,0,0,0,21,14,0,0,0,0,0,1,3,0,0,0,37,17,TEN,1,0,1.0,0.0,4.66666666667,3.0,4.7,3.0,3.0,0.0,0.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,37.0,17.0,0.0,1.0,0.0,4.66666666667,3.0,0.0,3.85
90,2009,Regular,4,TEN,Jared Cook,TE,2,3,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,17,37,JAC,0,0,0.666666666667,0.0,5.5,0.0,3.1,2.0,3.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,37.0,0.0,0.666666666667,0.0,5.5,0.0,0.0,8.775
91,2009,Regular,4,MIA,Anthony Fasano,TE,1,3,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,38,10,BUF,1,0,0.333333333333,0.0,7.0,0.0,1.7,1.33333333333,2.66666666667,0.0,0.0,0.0,4.33333333333,6.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6666666667,18.6666666667,0.0,0.5,0.0,4.33333333333,0.0,0.0,9.1
92,2009,Regular,4,NE,Benjamin Watson,TE,2,3,0,0,0,7,51,0,0,0,0,0,0,0,0,0,0,27,21,BAL,1,0,0.666666666667,0.0,25.5,0.0,7.1,3.33333333333,4.66666666667,0.666666666667,0.333333333333,0.0,6.66666666667,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.6666666667,4.0,0.646825396825,0.16,14.5,0.0,0.0,7.275
93,2009,Regular,4,SD,Antonio Gates,TE,9,12,2,0,0,39,124,0,0,0,0,0,0,0,0,0,0,28,38,PIT,0,12,0.75,0.428571428571,13.7777777778,0.0,36.4,5.0,7.66666666667,0.0,0.0,0.0,23.3333333333,75.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3333333333,21.3333333333,0.0,0.661375661376,0.0,15.0,0.0,0.0,7.875
94,2009,Regular,4,SF,Delanie Walker,TE,1,1,0,0,0,12,10,0,0,0,0,0,1,16,0,0,0,35,0,STL,1,0,1.0,0.0,10.0,16.0,3.6,1.0,2.0,0.0,0.0,0.0,16.5,13.5,0.0,0.0,0.0,0.0,0.0,0.5,8.0,0.0,0.0,0.0,27.5,8.0,0.0,0.666666666666,0.0,13.5,8.0,0.0,6.775
95,2009,Regular,4,SF,Vernon Davis,TE,3,4,1,0,0,10,43,0,0,0,0,0,0,0,0,0,0,35,0,STL,1,6,0.75,0.171428571429,14.3333333333,0.0,13.3,4.66666666667,7.66666666667,0.666666666667,0.0,0.0,20.3333333333,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3333333333,17.6666666667,4.0,0.58253968254,0.166666666667,12.5714285714,0.0,0.0,6.775
96,2009,Regular,5,NE,Benjamin Watson,TE,2,2,1,0,0,3,13,0,0,0,0,0,0,0,0,0,0,17,20,DEN,0,6,1.0,0.352941176471,6.5,0.0,9.3,3.0,4.25,0.5,0.25,0.0,6.75,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,17.75,3.0,0.651785714286,0.12,17.25,0.0,,7.1
