season_year,season_type,week,home_team,home_score,away_team,away_score,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block
2016,Preseason,4,ATL,17,JAC,15,ATL,0,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0
2016,Preseason,4,PHI,14,NYJ,6,NYJ,3,0,3,0,0,0,0,0,2,0,0,0,0,1.0,0
2016,Regular,4,TB,7,DEN,27,DEN,1,0,1,0,0,0,0,0,2,0,0,0,0,5.0,0
2016,Preseason,4,OAK,21,SEA,23,SEA,1,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0
2016,Preseason,4,DET,31,BUF,0,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Regular,4,WAS,31,CLE,20,CLE,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,4,MIN,24,NYG,10,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Regular,4,BAL,27,OAK,28,BAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Regular,4,ARI,13,LA,17,ARI,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,4,JAC,30,IND,27,JAC,1,0,0,0,0,0,0,0,1,0,0,0,0,6.0,0
2016,Preseason,4,NYG,17,NE,9,NYG,2,0,2,0,0,0,0,0,1,0,0,0,0,4.0,0
2016,Regular,4,CIN,22,MIA,7,CIN,1,0,1,0,0,0,0,0,1,0,0,0,0,5.0,0
2016,Regular,4,NYJ,17,SEA,27,SEA,1,0,0,0,0,0,0,0,3,0,0,0,0,4.0,0
2016,Preseason,4,CAR,18,PIT,6,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
