season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
2016,Preseason,1,PIT,17,DET,30,DET,T.J. Jones,WR,1,3,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PIT,17,DET,30,PIT,Cobi Hamilton,WR,2,5,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PIT,17,DET,30,PIT,Darrius Heyward-Bey,WR,1,3,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PIT,17,DET,30,PIT,DeMarcus Ayers,WR,1,1,0,0,0,1,5,0,0,0,0,0,1,14,0,0,0
2016,Preseason,1,PIT,17,DET,30,PIT,Eli Rogers,WR,1,1,0,0,0,5,8,0,0,0,0,0,1,5,0,0,0
2016,Preseason,1,PIT,17,DET,30,PIT,Sammie Coates,WR,3,4,0,0,0,11,18,2,0,0,0,0,1,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,HOU,Braxton Miller,WR,4,6,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,HOU,Jaelen Strong,WR,4,6,0,0,0,11,42,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,HOU,Keith Mumphery,WR,1,3,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,HOU,Will Fuller,WR,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,SF,Bruce Ellington,WR,1,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,SF,Bryce Treggs,WR,1,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,SF,13,HOU,24,SF,Dres Anderson,WR,1,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,SD,Dom Williams,WR,2,5,0,0,0,9,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,SD,Keenan Allen,WR,1,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,TEN,Andrew Turzilli,WR,1,1,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,TEN,Dexter McCluster,WR,1,1,0,0,0,27,23,0,0,0,0,0,2,12,0,0,0
2016,Preseason,1,TEN,27,SD,10,TEN,Dorial Green-Beckham,WR,1,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,TEN,Harry Douglas,WR,1,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,TEN,Rishard Matthews,WR,2,2,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,TEN,Tajae Sharpe,WR,2,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,TEN,27,SD,10,TEN,Tre McBride,WR,1,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,DAL,Andy Jones,WR,1,3,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,DAL,Brice Butler,WR,1,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,DAL,Chris Brown,WR,3,4,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,DAL,Cole Beasley,WR,2,2,0,0,0,9,23,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,DAL,Devin Street,WR,2,2,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,DAL,Dez Bryant,WR,2,2,1,0,0,1,28,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,DAL,Lucky Whitehead,WR,1,1,0,0,0,2,6,0,0,0,1,0,1,11,0,0,0
2016,Preseason,1,UNK,28,DAL,24,DAL,Terrance Williams,WR,1,1,1,0,0,1,32,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,DAL,Vince Mayle,WR,1,1,0,0,0,20,47,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,UNK,Brian Quick,WR,1,2,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,UNK,Kenny Britt,WR,1,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,UNK,Nelson Spruce,WR,6,8,1,0,0,36,51,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,UNK,28,DAL,24,UNK,Paul McRoberts,WR,3,5,0,0,0,14,24,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ARI,21,NE,23,ARI,J.J. Nelson,WR,1,2,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ARI,21,NE,23,ARI,Jaron Brown,WR,1,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ARI,21,NE,23,ARI,John Brown,WR,1,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ARI,21,NE,23,ARI,Larry Fitzgerald,WR,8,10,2,0,0,27,81,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ARI,21,NE,23,ARI,Michael Floyd,WR,3,7,0,0,0,16,61,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ARI,21,NE,23,NE,Chris Hogan,WR,3,4,1,0,0,33,60,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ARI,21,NE,23,NE,Danny Amendola,WR,3,4,0,0,0,5,48,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ARI,21,NE,23,NE,Julian Edelman,WR,7,7,0,0,0,24,66,0,0,0,0,0,3,16,0,0,0
2016,Regular,1,ARI,21,NE,23,NE,Malcolm Mitchell,WR,2,5,0,0,0,21,33,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ATL,24,TB,31,ATL,Julio Jones,WR,4,8,1,0,0,37,66,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ATL,24,TB,31,ATL,Justin Hardy,WR,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ATL,24,TB,31,ATL,Mohamed Sanu,WR,5,8,1,1,1,49,80,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ATL,24,TB,31,TB,Adam Humphries,WR,3,5,0,0,0,26,34,0,0,0,0,0,1,7,0,0,0
2016,Regular,1,ATL,24,TB,31,TB,Mike Evans,WR,5,7,1,0,0,8,99,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,ATL,24,TB,31,TB,Vincent Jackson,WR,2,7,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,BAL,13,BUF,7,BAL,Breshad Perriman,WR,1,2,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,BAL,13,BUF,7,BAL,Chris Moore,WR,1,2,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,BAL,13,BUF,7,BAL,Kamar Aiken,WR,2,2,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,BAL,13,BUF,7,BAL,Mike Wallace,WR,3,6,1,0,0,38,91,0,0,0,0,0,1,11,0,0,0
2016,Regular,1,BAL,13,BUF,7,BAL,Steve Smith,WR,5,9,0,0,0,12,19,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,BAL,13,BUF,7,BUF,Robert Woods,WR,4,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,BAL,13,BUF,7,BUF,Sammy Watkins,WR,4,6,0,0,0,7,43,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DAL,19,NYG,20,DAL,Brice Butler,WR,1,2,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DAL,19,NYG,20,DAL,Cole Beasley,WR,8,12,0,0,0,23,65,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DAL,19,NYG,20,DAL,Dez Bryant,WR,1,5,0,0,0,-3,8,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DAL,19,NYG,20,DAL,Terrance Williams,WR,3,4,0,0,0,9,34,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DAL,19,NYG,20,NYG,Odell Beckham,WR,4,8,0,0,0,16,73,0,0,0,0,0,0,0,0,0,0
