season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
2016,Preseason,1,CAR,Brenton Bersin,WR,5,6,0,0,0,1,69,0,0,0,0,0,0,0,0,0,0,19,22,BAL,0,0,0.833333333333,0.0,13.8,,11.9
2016,Preseason,1,CAR,Damiere Byrd,WR,1,5,0,0,0,9,35,1,0,0,0,0,0,0,0,0,0,19,22,BAL,0,0,0.2,0.0,35.0,,3.5
2016,Preseason,1,CAR,Devin Funchess,WR,1,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,19,22,BAL,0,6,1.0,0.315789473684,10.0,,8.0
2016,Preseason,1,CAR,Kelvin Benjamin,WR,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,22,BAL,0,0,1.0,0.0,5.0,,1.5
2016,Preseason,1,CAR,Kevin Norwood,WR,2,4,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,19,22,BAL,0,0,0.5,0.0,6.5,,3.3
2016,Preseason,1,CAR,Keyarris Garrett,WR,2,4,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,19,22,BAL,0,0,0.5,0.0,8.5,,3.7
2016,Preseason,1,CAR,Marcus Lucas,WR,1,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,19,22,BAL,0,0,0.5,0.0,6.0,,1.6
2016,Preseason,1,CAR,Ted Ginn,WR,1,2,0,0,0,10,9,0,0,0,0,0,1,17,0,0,0,19,22,BAL,0,0,0.5,0.0,9.0,17.0,3.6
2016,Preseason,1,BUF,Robert Woods,WR,2,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,18,19,IND,1,0,0.666666666667,0.0,5.5,,3.1
2016,Preseason,1,BUF,Walt Powell,WR,4,4,0,0,0,27,88,0,0,0,0,0,0,0,0,0,0,18,19,IND,1,0,1.0,0.0,22.0,,12.8
2016,Preseason,1,IND,Chester Rogers,WR,2,2,1,0,0,49,63,0,0,0,0,0,0,0,0,0,0,19,18,BUF,0,6,1.0,0.315789473684,31.5,,14.3
2016,Preseason,1,IND,Josh Boyce,WR,2,5,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,19,18,BUF,0,0,0.4,0.0,8.0,,3.6
2016,Preseason,1,IND,Mekale McKay,WR,1,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,19,18,BUF,0,0,0.5,0.0,16.0,,2.6
2016,Preseason,1,IND,Phillip Dorsett,WR,2,4,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,19,18,BUF,0,0,0.5,0.0,4.0,,2.8
2016,Preseason,1,IND,T.Y. Hilton,WR,1,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,19,18,BUF,0,0,0.5,0.0,5.0,,1.5
2016,Preseason,1,IND,Tevaun Smith,WR,3,6,0,0,0,4,34,0,0,0,0,0,0,0,0,0,0,19,18,BUF,0,0,0.5,0.0,11.3333333333,,6.4
2016,Preseason,1,CHI,Alshon Jeffery,WR,1,1,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,22,DEN,1,0,1.0,,12.0,,2.2
2016,Preseason,1,CHI,Daniel Braverman,WR,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,DEN,1,0,1.0,,3.5,,2.7
2016,Preseason,1,CHI,Deonte Thompson,WR,2,4,0,0,0,12,33,0,0,0,0,0,0,0,0,0,0,0,22,DEN,1,0,0.5,,16.5,,5.3
2016,Preseason,1,CHI,Josh Bellamy,WR,3,5,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,22,DEN,1,0,0.6,,8.66666666667,,5.6
2016,Preseason,1,CHI,Kevin White,WR,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,22,DEN,1,0,1.0,,3.0,,1.3
2016,Preseason,1,DEN,Bennie Fowler,WR,3,7,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,22,0,CHI,0,0,0.428571428571,0.0,6.0,,4.8
2016,Preseason,1,DEN,Cody Latimer,WR,7,8,0,0,0,37,82,0,0,0,0,0,0,0,0,0,0,22,0,CHI,0,0,0.875,0.0,11.7142857143,,15.2
2016,Preseason,1,DEN,Demaryius Thomas,WR,2,2,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,22,0,CHI,0,6,1.0,0.272727272727,21.5,,12.3
2016,Preseason,1,DEN,Emmanuel Sanders,WR,2,2,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,22,0,CHI,0,0,1.0,0.0,7.0,,3.4
2016,Preseason,1,DEN,Jordan Taylor,WR,2,3,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,22,0,CHI,0,0,0.666666666667,0.0,22.0,,6.4
2016,Preseason,1,CIN,A.J. Green,WR,3,4,0,0,0,11,26,0,0,0,0,0,0,0,0,0,0,16,17,MIN,1,0,0.75,0.0,8.66666666667,,5.6
2016,Preseason,1,CIN,Alex Erickson,WR,1,2,1,0,0,0,3,0,0,0,0,1,1,3,0,0,0,16,17,MIN,1,12,0.5,0.75,3.0,3.0,13.6
