season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,puntret_tds,kickret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
2016,Regular,1,NO,Coby Fleener,TE,1,4,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,34,35,OAK,1,0,0.25,0.0,6.0,,1.6
2016,Regular,1,OAK,Clive Walford,TE,3,5,0,0,0,12,25,0,0,0,0,0,0,0,0,0,0,35,34,NO,0,0,0.6,0.0,8.33333333333,,5.5
2016,Regular,1,CIN,C.J. Uzomah,TE,2,5,0,0,0,37,59,0,0,0,0,0,0,0,0,0,0,23,22,NYJ,0,0,0.4,0.0,29.5,,7.9
2016,Regular,1,PHI,Brent Celek,TE,1,1,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,29,10,CLE,1,0,1.0,0.0,11.0,,2.1
2016,Regular,1,PHI,Zach Ertz,TE,6,7,0,0,0,18,58,0,0,0,0,0,0,0,0,0,0,29,10,CLE,1,0,0.857142857143,0.0,9.66666666667,,11.8
2016,Regular,1,MIA,Jordan Cameron,TE,2,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,12,SEA,0,0,0.666666666667,0.0,3.0,,2.6
2016,Regular,1,SEA,Jimmy Graham,TE,1,1,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,12,10,MIA,1,0,1.0,0.0,11.0,,2.1
2016,Regular,1,SEA,Luke Willson,TE,2,4,0,0,0,16,26,0,0,0,0,0,0,0,0,0,0,12,10,MIA,1,0,0.5,0.0,13.0,,4.6
2016,Regular,1,LA,Lance Kendricks,TE,2,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,28,SF,0,0,0.666666666667,,7.5,,3.5
2016,Regular,1,LA,Tyler Higbee,TE,1,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,28,SF,0,0,0.25,,2.0,,1.2
2016,Regular,1,SF,Garrett Celek,TE,1,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,28,0,LA,1,0,0.25,0.0,15.0,,2.5
2016,Regular,1,SF,Vance McDonald,TE,2,3,1,0,0,4,14,0,0,0,0,0,0,0,0,0,0,28,0,LA,1,6,0.666666666667,0.214285714286,7.0,,9.4
2016,Regular,1,MIN,Kyle Rudolph,TE,4,8,0,0,0,28,65,0,0,0,0,0,0,0,0,0,0,25,16,TEN,0,0,0.5,0.0,16.25,,10.5
